"","LUAD16T","LUAD18T","LUAD1T","LUAD23T","PDO1","PDO2","PDO4","PDO5","PDO6","PDO23_MDO1_DIAPH","PDO23_MDO1_Liver","PDO23_MDO2_Brain","PDO6_MDO_Brain","PDO23_MDO3_GB"
"GAPDHP1",0,0,0,3.61119974294805,0,0,0,0,0.0853361371976125,4.70286288354858,3.98505431480098,4.58680407109548,0,3.59639142173035
"MT-ATP8",0,0,0,9.0986851083352,0,0,0,0,0,8.58760208130229,8.20748986312268,8.53417836854294,0,8.66345263871776
"RP5-1125A11.1",1.08474948872189,1.13890322971642,1.72693963020511,1.31963579615467,1.80036645360544,1.42362776679745,1.22321257819749,1.2140181846501,0.314684473678615,2.18375777146179,2.21555745934397,2.78739012010249,0.74882538202503,1.90195824120415
"RP3-508I15.9",1.08474948872189,0.379103972287473,0.17889207320421,1.15977480093096,0.740802003560225,0.732068030169232,1.41593452194654,0.319002638096018,1.72923789690815,1.93458140256779,2.35236385124236,2.39700914222752,1.97299536097356,2.41959141665295
"PCAT6",1.23953428507597,1.89911734935229,2.55692618965169,1.44383764374999,2.45848714238262,1.35749967815578,1.87551287302529,2.91009049338928,3.05522833673789,2.3114310712471,1.83456024736513,2.85887976282088,3.18539827435169,2.20696069704428
"C19orf24",6.37909902261803,6.47217799060385,6.3468976255727,4.01988997187501,6.36465967343478,5.99541091908254,5.30882727484502,5.83939761077821,5.50723897915615,4.15509492403191,4.82056581613678,4.15660618568495,5.14687755047029,4.46698936082023
"RP11-186N15.3",0,0.293253230454637,0.17889207320421,0.458390116162765,1.00479391983332,0.379025237951983,0.901130739409651,0.657571403884624,0.981822294317925,0,0,0,0.806090163404083,0
"AC016734.2",0,0.0356865272215427,0.0922170564269868,0.95234796672238,0.0937095162488722,0,0,0,0,1.25175396294216,1.61037001160884,1.11707580414611,0,1.48980388371203
"CYP4F29P",0.566017873131747,0.585818037944995,0.73124500635757,0,3.60173640663565,2.66635656943358,1.22321257819749,0.11435274365209,0,0,0,0,0,0.315442144422681
"GUSBP11",3.89262859709447,4.03583157657541,3.057760244568,3.26897005938362,4.9634604893568,4.90229216768801,4.54981029910857,3.20928622696783,3.70764744298849,2.88088651470359,3.4674329883877,4.02810949252365,4.80801618364506,3.48113711519369
"RP11-206L10.2",1.28764658743433,0.585818037944995,1.1296970853582,0.104070300509232,1.00479391983332,1.60556435420811,1.95215439241451,0.931593904246507,2.23787848660541,0.623409594946634,0.14099464510807,0.952523697322758,2.3261064864591,0.476152232510197
"RP11-516A11.1",0,0,0,0.71000795223612,0,0,0,0,0,3.243062126986,2.5295525596717,2.94900174024698,0,2.35213754083901
"AC068039.4",0.111127408379756,0.679034348825582,0,0.104070300509232,0.797606552285771,0.832852376023809,0.951783321217592,0.867811752296705,0,0.238995363840667,0.38735725844994,0.233103096318009,0.0949689349863333,0.665886729481227
"RP11-216B9.6",0.111127408379756,0.849137510147227,0,0.71000795223612,0.488168160195462,0.163737218990037,0.34133913513705,0.411379750449019,0.981822294317925,0.443968448457897,0.547936222338278,0.433729318296018,1.60467499429749,1.11974542574889
"CCT6P1",1.66081107471231,1.53773399227851,0.841639295408085,1.40361348774887,1.80036645360544,2.04432910740735,2.09420818031887,1.690287762198,2.5394956606756,2.04367913979143,1.87550164990823,1.95017668152272,2.24559683420973,1.93921092764778
"AC004951.6",0.971488945833154,0,0.260653583625729,0.0529733492235183,1.22786988832788,0.783340103154744,1.13828641086685,1.16178404001305,1.46838112878759,0.238995363840667,0.206640230328508,0,1.63659664737934,0.134558978705204
"RP5-864K19.4",0.214303737578328,0.486160175848221,0.17889207320421,0.247324629971596,1.09820241595769,1.09879615453548,0.0931991317607424,0.498196142841656,0.165905258325405,0.926646780659146,2.46395277731504,1.03714455769845,0.42246128395307,0.315442144422681
"RP11-400N13.2",0.91133979923622,0.201968697028696,0.787497807713979,0.0529733492235183,0.797606552285771,0.732068030169232,0,0,0,0,1.25458101193179,0.553485856539404,0,0
"TSTD3",0.714202004698451,0.460131641370269,0.787497807713979,1.46353682953069,1.00479391983332,1.45558883035518,1.26387164433913,1.31313386766224,0.449544909986982,1.42308964659755,1.74901785826475,0.862628451169248,0.493908040916376,1.63309613260588
"SDAD1P1",1.58582713429748,1.78841841762001,1.63794748756545,2.59672153566476,1.65422223145362,1.25225173710735,1.00071766274786,2.07624510522458,1.02566198272734,3.21534394836317,2.11656929602488,1.95017668152272,0.626989737246253,2.02833977525965
"OST4",7.33435459539069,7.53022368232403,7.43914585224112,7.72266918052877,7.56564408744552,7.06074064050156,7.1872916632982,7.32747867916411,6.2106411133661,7.31405919539836,7.0699805737913,6.77002110367918,6.05876944653275,7.03844677159603
"RP3-342P20.2",0.310591196650627,0.701426831457318,0,0,1.26862576587144,1.42362776679745,0.415396375277575,0.580083438551531,0.165905258325405,1.17708468185663,1.22320375867463,1.29944160432591,0.0949689349863333,1.24403495171939
"AC017099.3",1.42304602888671,1.51262749772371,0.611698223913443,1.29785471621497,1.52561427312485,1.25225173710735,1.58591930507391,0.11435274365209,0.841694398364964,1.4863053196447,0.905083669903101,2.03493134852603,1.4335258215997,1.63309613260588
"RPL15P18",0,0,0,0,0,0,0,0,0,1.60498833427215,1.48369389823961,1.73904341170617,0,1.51469621218427
"EEF1A1P11",0.214303737578328,0.137736902403424,0.411464790977895,1.18372549936272,0.0937095162488722,0.379025237951983,0.0931991317607424,0,0.165905258325405,3.32315783462433,3.34887313004575,3.50414476451975,0.347291062689573,3.65354464464023
"RP11-98I9.4",0.782951534914173,0.460131641370269,0.611698223913443,0.979966850340044,1.30826185844869,1.76710522767329,1.34190562199783,0.580083438551531,0.449544909986982,1.97921528509877,1.31535958895164,1.66119195346081,0.626989737246253,1.2139519285834
"RP1-241P17.4",0,0.104515767731617,0.481343008956983,1.08544041384138,0.264634149728729,0.310770906596785,0.263273666418429,0.11435274365209,0.242211890442732,1.05729312151973,0.864984866695228,0.862628451169248,0.347291062689573,1.63309613260588
"KIAA1984-AS1",0.91133979923622,0.983119534105237,0.611698223913443,0.534867683228122,2.22991858876491,1.66144536712253,2.181690799782,2.31019050546123,0.889931888529638,0.971523030455157,1.37368083085483,0.553485856539404,1.50443992151353,0.424546080505824
"SPCS2P4",0.642011665402813,0.201968697028696,0.672709519361798,1.31963579615467,0.620007946788319,0.678906436167419,0.67861018563936,0.801078806035642,1.06820869254606,1.17708468185663,1.61037001160884,1.39873140770356,1.15365190346423,1.33069399299983
